FIND_KEY,HarmChannels,DoubleTimeStart
0,119,1.5530036769570000e+12
1,119,1.5530036809570000e+12
2,119,1.5530036833400000e+12
3,119,1.5530036859600000e+12
4,119,1.5530036879510000e+12
5,119,1.5530036900300000e+12
6,119,1.5530036919540000e+12
7,119,1.5530036950770000e+12
8,119,1.5530036979520000e+12
9,119,1.5530037002360000e+12
10,119,1.5530037029510000e+12
11,119,1.5530037049660000e+12
12,119,1.5530037069510000e+12
13,119,1.5530037099490000e+12
14,119,1.5530037119500000e+12
15,119,1.5530037142390000e+12
16,119,1.5530037169570000e+12
17,119,1.5530037189550000e+12
18,119,1.5530037209500000e+12
19,119,1.5530037229550000e+12
20,119,1.5530037249500000e+12
21,119,1.5530037269540000e+12
22,119,1.5530037292260000e+12
23,119,1.5530037323100000e+12
24,119,1.5530037349540000e+12
25,119,1.5530037369540000e+12
26,119,1.5530037389650000e+12
27,119,1.5530037412890000e+12
28,119,1.5530037439480000e+12
29,119,1.5530037459660000e+12
30,119,1.5530037479520000e+12
31,119,1.5530037513700000e+12
32,119,1.5530037539500000e+12
33,119,1.5530037563320000e+12
34,119,1.5530037591630000e+12
35,119,1.5530037609520000e+12
36,119,1.5530037629550000e+12
37,119,1.5530037649570000e+12
38,119,1.5530037669520000e+12
39,119,1.5530037692500000e+12
40,119,1.5530037719560000e+12
41,119,1.5530037739490000e+12
42,119,1.5530037759560000e+12
43,119,1.5530037779720000e+12
44,119,1.5530037888440000e+12
45,119,1.5530037908520000e+12
46,119,1.5530037968480000e+12
47,119,1.5530037988400000e+12
48,119,1.5530038008450000e+12
49,119,1.5530038028460000e+12
50,119,1.5530038051330000e+12
51,119,1.5530038078400000e+12
52,119,1.5530038109860000e+12
53,119,1.5530038138440000e+12
54,119,1.5530038158430000e+12
55,119,1.5530038189360000e+12
56,119,1.5530038208460000e+12
57,119,1.5530038229060000e+12
58,119,1.5530038262130000e+12
59,119,1.5530038288530000e+12
60,119,1.5530038312310000e+12
61,119,1.5530038338420000e+12
62,119,1.5530038358450000e+12
63,119,1.5530038382110000e+12
64,119,1.5530038410390000e+12
65,119,1.5530038498580000e+12
66,119,1.5530038522270000e+12
67,119,1.5530038548400000e+12
68,119,1.5530038582210000e+12
69,119,1.5530038608610000e+12
70,119,1.5530038638780000e+12
71,119,1.5530038661580000e+12
72,119,1.5530038688630000e+12
73,119,1.5530038728630000e+12
74,119,1.5530038748470000e+12
75,119,1.5530038779490000e+12
76,119,1.5530038799160000e+12
77,119,1.5530038818500000e+12
78,119,1.5530038918930000e+12
79,119,1.5530038938940000e+12
80,119,1.5530039019670000e+12
81,119,1.5530039043070000e+12
82,119,1.5530039069530000e+12
83,119,1.5530039089650000e+12
84,119,1.5530039109620000e+12
85,119,1.5530039132440000e+12
86,119,1.5530039159620000e+12
87,119,1.5530039182210000e+12
88,119,1.5530039209710000e+12
89,119,1.5530039229560000e+12
90,119,1.5530039269570000e+12
91,119,1.5530039289600000e+12
92,119,1.5530039312360000e+12
93,119,1.5530039343440000e+12
94,119,1.5530039369540000e+12
95,119,1.5530039401000000e+12
96,119,1.5530039419640000e+12
97,119,1.5530039439610000e+12
98,119,1.5530039461430000e+12
99,119,1.5530039479540000e+12
100,119,1.5530039502180000e+12
101,119,1.5530039519700000e+12
