"FIND_KEY","HarmChannels","DoubleTimeStart"
"0","119","1558528255075"
"1","119","1558528258078"
"2","119","1558528260082"
"3","119","1558528263016"
"4","119","1558528265027"
"5","119","1558528267046"
"6","119","1558528269042"
"7","119","1558528271031"
"8","119","1558528273031"
"9","119","1558528275066"
"10","119","1558528277115"
"11","119","1558528279148"
"12","119","1558528281176"
"13","119","1558528283090"
"14","119","1558528285085"
"15","119","1558528287073"
"16","119","1558528289068"
"17","119","1558528292027"
"18","119","1558528294034"
"19","119","1558528296036"
"20","119","1558528298067"
"21","119","1558528300110"
"22","119","1558528302170"
"23","119","1558528305187"
"24","119","1558528307234"
"25","119","1558528310271"
"26","119","1558528312344"
"27","119","1558528315097"
"28","119","1558528317071"
"29","119","1558528320013"
"30","119","1558528322009"
"31","119","1558528324019"
"32","119","1558528326027"
"33","119","1558528328061"
"34","119","1558528330059"
"35","119","1558528332059"
"36","119","1558528334104"
"37","119","1558528336133"
"38","119","1558528338158"
"39","119","1558528348047"
"40","119","1558528350026"
"41","119","1558528352019"
"42","119","1558528354029"
"43","119","1558528356092"
"44","119","1558528358112"
"45","119","1558528360190"
"46","119","1558528363188"
"47","119","1558528366244"
"48","119","1558528369031"
"49","119","1558528371101"
"50","119","1558528373074"
"51","119","1558528375080"
"52","119","1558528378008"
"53","119","1558528380012"
"54","119","1558528382009"
"55","119","1558528384015"
"56","119","1558528386030"
"57","119","1558528388056"
"58","119","1558528390089"
"59","119","1558528392133"
"60","119","1558528394168"
"61","119","1558528396180"
"62","119","1558528398093"
"63","119","1558528400082"
"64","119","1558528402082"
"65","119","1558528405015"
"66","119","1558528407008"
"67","119","1558528409014"
"68","119","1558528411053"
"69","119","1558528413072"
"70","119","1558528415139"
"71","119","1558528417159"
"72","119","1558528420194"
"73","119","1558528423249"
"74","119","1558528426052"
"75","119","1558528428101"
"76","119","1558528430092"
"77","119","1558528432073"
"78","119","1558528435011"
"79","119","1558528437015"
